	SubRedes
1	178.49.0.0
2	178.49.1.0
3	178.49.2.0
4	178.49.3.0
5	178.49.4.0
6	178.49.5.0
7	178.49.6.0
8	178.49.7.0
9	178.49.8.0
10	178.49.9.0
11	178.49.10.0
12	178.49.11.0
13	178.49.12.0
14	178.49.13.0
15	178.49.14.0
16	178.49.15.0
17	178.49.16.0
18	178.49.17.0
19	178.49.18.0
20	178.49.19.0
21	178.49.20.0
22	178.49.21.0
23	178.49.22.0
24	178.49.23.0
25	178.49.24.0
26	178.49.25.0
27	178.49.26.0
28	178.49.27.0
29	178.49.28.0
30	178.49.29.0
31	178.49.30.0
32	178.49.31.0
33	178.49.32.0
34	178.49.33.0
35	178.49.34.0
36	178.49.35.0
37	178.49.36.0
38	178.49.37.0
39	178.49.38.0
40	178.49.39.0
41	178.49.40.0
42	178.49.41.0
43	178.49.42.0
44	178.49.43.0
45	178.49.44.0
46	178.49.45.0
47	178.49.46.0
48	178.49.47.0
49	178.49.48.0
50	178.49.49.0
51	178.49.50.0
52	178.49.51.0
53	178.49.52.0
54	178.49.53.0
55	178.49.54.0
56	178.49.55.0
57	178.49.56.0
58	178.49.57.0
59	178.49.58.0
60	178.49.59.0
61	178.49.60.0
62	178.49.61.0
63	178.49.62.0
64	178.49.63.0
65	178.49.64.0
66	178.49.65.0
67	178.49.66.0
68	178.49.67.0
69	178.49.68.0
70	178.49.69.0
71	178.49.70.0
72	178.49.71.0
73	178.49.72.0
74	178.49.73.0
75	178.49.74.0
76	178.49.75.0
77	178.49.76.0
78	178.49.77.0
79	178.49.78.0
80	178.49.79.0
81	178.49.80.0
82	178.49.81.0
83	178.49.82.0
84	178.49.83.0
85	178.49.84.0
86	178.49.85.0
87	178.49.86.0
88	178.49.87.0
89	178.49.88.0
90	178.49.89.0
91	178.49.90.0
92	178.49.91.0
93	178.49.92.0
94	178.49.93.0
95	178.49.94.0
96	178.49.95.0
97	178.49.96.0
98	178.49.97.0
99	178.49.98.0
100	178.49.99.0
101	178.49.100.0
102	178.49.101.0
103	178.49.102.0
104	178.49.103.0
105	178.49.104.0
106	178.49.105.0
107	178.49.106.0
108	178.49.107.0
109	178.49.108.0
110	178.49.109.0
111	178.49.110.0
112	178.49.111.0
113	178.49.112.0
114	178.49.113.0
115	178.49.114.0
116	178.49.115.0
117	178.49.116.0
118	178.49.117.0
119	178.49.118.0
120	178.49.119.0
121	178.49.120.0
122	178.49.121.0
123	178.49.122.0
124	178.49.123.0
125	178.49.124.0
126	178.49.125.0
127	178.49.126.0
128	178.49.127.0
129	178.49.128.0
130	178.49.129.0
